Data Prediction, VIS in LSTM
1,10.000
1,9.900
1,9.800
1,9.700
1,9.600
1,9.500
1,9.400
1,9.300
1,9.200
1,9.100
1,9.000
1,8.900
1,8.800
1,8.700
1,8.600
1,8.500
1,8.400
1,8.300
1,8.200
1,8.100
1,8.000
1,7.900
1,7.800
1,7.700
1,7.600
1,7.500
1,7.400
1,7.300
1,7.200
1,7.100
1,7.000
1,6.900
1,6.800
1,6.700
1,6.600
1,6.500
1,6.400
1,6.300
1,6.200
1,6.100
1,6.000
1,5.900
1,5.800
1,5.700
1,5.600
1,5.500
1,5.400
1,5.300
1,5.200
1,5.100
1,5.000
1,4.900
1,4.800
1,4.700
1,4.600
1,4.500
1,4.400
1,4.300
1,4.200
1,4.100
1,4.000
1,3.900
1,3.800
1,3.700
1,3.600
1,3.500
1,3.400
1,3.300
1,3.200
1,3.100
1,3.000
1,2.900
1,2.800
1,2.700
1,2.600
1,2.500
1,2.400
1,2.300
1,2.200
1,2.100
1,2.000
1,1.900
1,1.800
1,1.700
1,1.600
1,1.500
1,1.400
1,1.300
1,1.200
1,1.100
1,1.000
1,0.900
1,0.800
1,0.700
1,0.600
1,0.500
1,0.400
1,0.300
1,0.200
1,0.100
1,0.000

Yes I Can
